name,knot_sig,dt_code,structure
15ns_1,pabcdefgaheijfklhmcnijobmdnogklNzCmt7-z-p,lNgkAmbJeFodHiC,"Trefoil[3]"
15ns_2,pabcdefghijbkfilmjedcknolmanghoxMzXm-----,cFnHliBkMgOedaJ,"Trefoil[-1/3]"
15ns_3,pabcdbefghijkglmhkcdjinofeanmloRmZYmbMzyM,cJnELOiMkBgDHaF,"Trefoil[-3/2]"
15ns_4,pabcdbefghcdijklmghijknoaefmlnolnzvz-----,dgKoFIalEmnBhjc,"Trefoil[-3]"
15ns_5,pabcdefghiajgklhjmedcnklobmfnoixMzXmJ-F8-,kNgAmlbJdFoHeiC,"Trefoil[1/3]"
15ns_6,pabcdbefghieajfiklcdmnhgomlknojRmZYmbMzyM,jMhKGnIcEaLDOfB,"Trefoil[3/2]"
